mode,scenario,rows,rounds,profit,fulfillment,mean_price,forecast_mae,transfer,reallocated,defaults,dumps,final_backlog,price_pressure_cost,decision_sources,fallback_decisions,strategy_sources,strategy_traces,strategy_fallbacks
llm-context,high_volatility,36,12,3211.9575411858805,0.9744548299723751,5.438888888888888,8.555555555555555,4.88097585690673,137.68620664809075,5,7,0.18134199625867187,0.0,llm-context:36,0,,0,0
llm-context,no_reputation,36,12,3371.585574552892,0.991260399932043,5.638888888888889,5.972222222222222,3.0131240990212262,111.51625066429426,0,10,0.6721451809498569,0.0,llm-context:36,0,,0,0
llm-context,no_transfer,36,12,3355.7503791825634,0.9820981836596763,5.583333333333333,6.666666666666667,0.0,193.25630511037167,6,10,1.3394122884583977,0.0,llm-context:36,0,,0,0
llm-adaptive,baseline,36,12,3716.367127896827,0.9933925624690858,5.833333333333333,26.86111111111111,39.98574419724581,199.93390408668498,2,0,0.5230569286120242,0.0,llm-adaptive:36,0,llm-adaptive:36,36,0
llm-adaptive,price_war,36,12,3597.08766387086,0.9977642090874045,5.861111111111111,27.333333333333332,10.732736049761602,83.9054274437236,0,0,0.0,227.50200000000004,llm-adaptive:36,0,llm-adaptive:36,36,0
llm-adaptive,supply_shock,36,12,4237.7842281408675,0.9530285045487294,5.855555555555556,55.361111111111114,92.5205200902128,158.85058199494864,7,0,10.924170830821264,0.0,llm-adaptive:36,0,llm-adaptive:36,36,0
llm-adaptive,high_volatility,36,12,3706.563878479929,0.9888444594764009,5.833333333333333,40.05555555555556,33.85331427447461,181.67287807051395,4,0,1.318257962009362,0.0,llm-adaptive:36,0,llm-adaptive:36,36,0
llm-adaptive,no_reputation,36,12,3532.8152979803326,0.9886391755317563,5.75,28.166666666666668,41.868073311005304,147.63652252920062,4,0,3.2322768691033517,0.0,llm-adaptive:36,0,llm-adaptive:36,36,0
llm-adaptive,no_transfer,36,12,3558.803864717758,0.9792129784059018,5.8277777777777775,27.25,0.0,92.76808459418123,8,0,3.0195447126202626,0.0,llm-adaptive:36,0,llm-adaptive:36,36,0
llm-context-adaptive,baseline,36,12,3823.671409419355,0.99202681408306,5.838888888888889,27.61111111111111,38.959132937410935,193.74055499816265,3,0,0.5780312626617364,0.0,llm-context-adaptive:36,0,llm-context-adaptive:36,36,0
llm-context-adaptive,price_war,36,12,3501.2446207760563,0.9896169428705726,5.833333333333333,27.72222222222222,11.695952415057903,72.96755414314636,1,0,0.07830422656288046,227.50200000000004,llm-context-adaptive:36,0,llm-context-adaptive:36,36,0
llm-context-adaptive,supply_shock,36,12,4326.5984232758465,0.9607609558001485,5.85,57.02777777777778,83.95724966547412,133.12790428361225,7,0,3.654683684498833,0.0,llm-context-adaptive:36,0,llm-context-adaptive:36,36,0
llm-context-adaptive,high_volatility,36,12,3744.999465352027,0.9927326339668767,5.861111111111111,39.611111111111114,41.65338056664284,178.84980919962484,2,0,1.0991384260734587,0.0,llm-context-adaptive:36,0,llm-context-adaptive:36,36,0
llm-context-adaptive,no_reputation,36,12,3693.094574698412,0.989616486080249,5.777777777777778,26.47222222222222,40.887459321236776,168.94490437281468,5,0,2.632959556326589,0.0,llm-context-adaptive:36,0,llm-context-adaptive:36,36,0
llm-context-adaptive,no_transfer,36,12,3591.057761274306,0.9828906944748628,5.838888888888889,27.333333333333332,0.0,121.883792434799,7,0,0.0,0.0,llm-context-adaptive:36,0,llm-context-adaptive:36,36,0
